userId,laptop_id,rating,timestamp
1,26,4,964982703
1,150,4,964981247
1,190,4,964982224
1,39,5,964983815
1,176,5,964982931
1,229,3,964982400
1,230,5,964980868
1,128,4,964982176
1,36,5,964984041
1,75,5,964984100
1,98,5,964983650
1,61,5,964981208
1,25,3,964980985
1,105,5,964981179
1,211,4,964980908
1,220,5,964981680
1,153,3,964982967
1,174,3,964982310
1,142,5,964981179
1,35,4,964982563
1,206,4,964980962
1,123,5,964982588
1,28,4,964981710
1,58,3,964982363
1,93,4,964980868
1,204,5,964981909
1,135,4,964982346
1,90,3,964981208
1,87,5,964984002
1,64,4,964981179
1,24,4,964982653
1,125,5,964984153
1,185,4,964982546
1,101,4,964982271
1,222,4,964983793
1,73,5,964982838
1,158,5,964982931
1,9,3,964982563
1,104,5,964982838
1,13,3,964981775
1,103,4,964982400
1,217,3,964982653
1,46,3,964984086
1,21,4,964980499
1,41,5,964982475
1,44,5,964981529
1,11,5,964982176
1,159,4,964983614
1,51,5,964983219
1,74,3,964981775
1,6,5,964982681
1,144,5,964982876
1,66,5,964982791
1,54,5,964982855
1,231,3,964982903
1,76,5,964982653
1,110,5,964982791
1,31,4,964981179
1,3,5,964982400
1,219,4,964980924
1,228,5,964981680
1,88,5,964981327
1,111,5,964982951
1,216,4,964984018
1,34,5,964983484
1,115,5,964981680
1,143,4,964982513
1,184,5,964981327
1,63,5,964981827
1,59,5,964981872
1,140,5,964981827
1,119,5,964983737
1,33,4,964983250
1,4,5,964980499
1,165,5,964982951
1,170,4,964981855
1,169,2,964983393
1,233,5,964981909
1,179,5,964981909
1,131,5,964984018
1,139,5,964983618
1,192,5,964983723
1,172,5,964981442
1,92,3,964983414
1,210,4,964983599
1,1,5,964983705
1,203,5,964982290
1,191,5,964983414
1,151,5,964982703
1,160,5,964981909
1,225,5,964984086
1,215,4,964983393
1,85,3,964982653
1,106,3,964983017
1,49,3,964982310
1,183,3,964984112
1,82,4,964980875
1,195,4,964980985
1,97,5,964981107
1,162,4,964982620
1,5,5,964982290
1,77,3,964981125
1,55,5,964982346
1,23,5,964982951
1,81,4,964983056
1,232,5,964983504
1,202,3,964983536
1,8,3,964982620
1,133,5,964981125
1,15,4,964981230
1,212,4,964981404
1,193,5,964983034
1,154,4,964983056
1,141,4,964981780
1,17,5,964981497
1,116,5,964982176
1,114,4,964981710
1,43,4,964982211
1,155,5,964981710
1,187,4,964984176
1,68,5,964980523
1,145,4,964981888
1,199,5,964982903
1,57,4,964982563
1,84,5,964982791
1,198,4,964981747
1,138,5,964982400
1,124,5,964982838
1,10,5,964982838
1,40,3,964981710
1,200,5,964982653
1,102,4,964982838
1,182,4,964982588
1,126,4,964981725
1,16,5,964982529
1,27,5,964982876
1,146,5,964982791
1,224,5,964982791
1,113,5,964982838
1,83,4,964981725
1,53,5,964981710
1,188,4,964981680
1,60,4,964981710
1,157,2,964981775
1,156,4,964982989
1,209,4,964982310
1,86,5,964983664
1,227,5,964983263
1,37,2,964983546
1,226,5,964983861
1,22,3,1445714835
1,12,4,1445715029
1,80,4.5,1445715228
1,42,4,1445714885
1,47,4,1445714952
1,129,3.5,1445714960
1,164,4,1445715013
1,50,4,1445715064
1,112,4.5,1445715141
1,107,5,1445714980
1,96,4.5,1445715154
1,67,3,1445714974
1,194,4,1445714926
1,95,3,1445714941
1,45,4,1445714841
1,109,4.5,1445715340
1,201,5,1445715172
1,108,4,1445715166
1,214,5,1445715189
1,122,3.5,1445714891
1,121,2.5,1445714938
1,70,3.5,1445714874
1,117,5,1445714966
2,213,1,945629040
2,27,5,964622684
2,22,2,945173513
2,117,3,986848894
2,182,5,945079259
2,116,5,964538468
2,215,1,945173350
2,13,5,945079182
2,168,5,964538500
2,4,4,945629063
2,202,4,964622786
2,90,3,986934901
2,67,3,964623306
2,199,4,945078690
2,177,2,945078467
2,149,1,986934915
2,55,2,986848828
2,126,5,945079259
2,78,5,945174290
2,135,5,945079872
2,28,1,945079106
2,194,5,945078636
2,219,1,964538832
2,14,2,945079301
2,200,4,945079670
2,82,5,964539986
2,205,3,986848609
2,18,2,945078587
3,209,3,945079906
3,9,4,986935230
3,224,3,945078601
3,140,4,945079106
3,136,4,964622714
3,30,5,964623347
3,41,4,945079653
3,155,4,945078446
3,4,4,945079837
3,162,5,945173902
3,133,5,945173989
3,114,5,945173902
3,157,5,945079670
3,19,5,945079521
3,82,5,945173602
3,156,5,964538571
3,202,3,986849085
3,129,4,945079232
3,186,5,945173654
3,170,3,964540578
3,124,2,986934819
3,204,4,945079483
3,94,5,945173692
3,146,2,945078946
3,75,5,986934696
3,118,5,945079259
3,112,5,964539723
3,165,3,964538500
3,37,5,964539723
3,71,5,986934625
3,22,4,964539180
3,89,1,964778513
3,8,5,964538500
3,125,5,964538763
3,213,5,964538763
3,108,3,964538728
3,194,2,945078967
4,31,4,945079729
4,53,4,964539961
4,136,4,964539326
4,161,5,945174008
4,96,4,964538728
4,133,4,964622684
4,112,4,986849037
4,146,2,986934832
4,63,5,945079653
4,19,5,945078690
4,25,4,945079653
4,131,4,964538763
4,122,3,945078467
4,35,1,945173766
4,64,5,945079767
4,187,4,945173492
4,181,4,964622830
4,86,4,945079790
4,38,3,986935244
4,182,1,945079906
4,154,2,945079837
4,45,4,964622758
4,84,1,945629015
4,157,4,945079956
4,125,4,945079889
4,128,5,945079143
4,218,3,964539357
4,46,5,945174134
4,141,2,986849001
4,121,4,964622642
4,69,3,964622617
4,163,2,964539431
4,111,4,945629179
4,9,3,964540505
4,156,4,964622714
